model,runs,auroc_mean,auroc_std,average_precision_mean,average_precision_std,balanced_accuracy_mean,balanced_accuracy_std,elapsed_seconds_mean,elapsed_seconds_std
ae,1,0.48184802918082875,0.0,0.9551723041619078,0.0,0.5180125245025706,0.0,581.7238352999557,0.0
ganomaly,1,0.6018567384321771,0.0,0.9690553708918401,0.0,0.5864672479023179,0.0,610.4126574000111,0.0
vae,1,0.4933659828843396,0.0,0.9566805464634239,0.0,0.5218406476924501,0.0,592.3761242000619,0.0
