model,seed,auroc,average_precision,balanced_accuracy,sensitivity,specificity,elapsed_seconds
ae,13,0.4520078436310245,0.9527900032064414,0.5093927138265918,0.1583500883446049,0.8604353393085787,201.36777960008476
ae,42,0.4430491101452715,0.9515798661767129,0.5025824287655557,0.10759763602022787,0.8975672215108835,180.00720049999654
ae,73,0.4747584224210018,0.9556515543114815,0.5195788479401693,0.23121915554743191,0.8079385403329066,235.2946121999994
ganomaly,13,0.5678003203637727,0.9664760322577869,0.5629150965791536,0.4382501675501127,0.6875800256081946,448.64932690002024
ganomaly,42,0.5761136611909317,0.9660634694991106,0.5421066636772497,0.6514348382379821,0.4327784891165173,635.8338970999466
ganomaly,73,0.5469930576407493,0.9639958198244154,0.5402112859384363,0.4991165539511363,0.5813060179257362,632.4954540999606
vae,13,0.4509439950047404,0.9526043763506702,0.5084605103243712,0.12319502833120088,0.8937259923175416,240.04696669999976
vae,42,0.44888420713320765,0.9524218524616137,0.5058064276053623,0.1281301407420947,0.8834827144686299,218.5071745000314
vae,73,0.4519285445088849,0.9527970782084604,0.5049802033037583,0.21994760251020531,0.7900128040973111,205.60199210001156
