model,seed,auroc,average_precision,balanced_accuracy,sensitivity,specificity,f1,parameters,elapsed_seconds,scientific_run
ae,42,0.48184802918082875,0.9551723041619078,0.5180125245025706,0.17943093888990436,0.8565941101152369,0.30251669234720086,609857,581.7238352999557,False
ganomaly,42,0.6018567384321771,0.9690553708918401,0.5864672479023179,0.4751111923475294,0.6978233034571063,0.637951486890007,959586,610.4126574000111,False
vae,42,0.4933659828843396,0.9566805464634239,0.5218406476924501,0.21525619935417048,0.8284250960307298,0.3518924302788845,740993,592.3761242000619,False
