model,runs,auroc_mean,auroc_std,average_precision_mean,average_precision_std,balanced_accuracy_mean,balanced_accuracy_std
ae,3,0.760831481265215,0.0005485412586623885,0.9839440954240529,0.0002668765335842232,0.6790393060225545,0.013899386423948185
ganomaly,3,0.5636356797318179,0.015000352045092785,0.9655117738604376,0.0013289618079390798,0.5484110153982799,0.01259660241371576
vae,3,0.450585582215611,0.0015534935821544446,0.9526077690069148,0.00018763587839604808,0.5064157137444972,0.001818393917427812
